-1.934370	5.972556
-1.937001	5.974201
-1.933384	5.974858
-1.934041	5.975845
-1.935028	5.976503
-1.942262	5.977489
-1.933712	5.978147
-1.933384	5.978805
-1.933055	5.979462
-1.933384	5.979462
-1.925492	5.979791
-1.930095	5.980120
-1.921217	5.980449
-1.912996	5.980778
-1.902473	5.980449
-1.893923	5.980449
-1.891292	5.980120
-1.886360	5.980449
-1.886031	5.980120
-1.880441	5.979462
-1.878468	5.979791
-1.887346	5.979133
-1.877810	5.979462
-1.888662	5.979133
-1.891292	5.979133
-1.892937	5.979462
-1.908063	5.979791
-1.913325	5.980120
-1.934041	5.980778
-1.935685	5.980778
-1.938316	5.980778
-1.951141	5.981106
-1.957060	5.981435
-1.980736	5.982093
-1.982709	5.982422
-1.998494	5.982093
-2.002768	5.982422
-2.008688	5.982751
-2.005399	5.983079
-2.006715	5.982751
-2.009674	5.983079
-2.000795	5.983079
-1.985340	5.983408
-1.985011	5.983079
-1.970542	5.982751
-1.975804	5.982751
-1.964623	5.982751
-1.952456	5.982093
-1.958046	5.981106
-1.948839	5.980778
-1.958375	5.979791
-1.963966	5.978805
-1.959362	5.977818
-1.952785	5.977160
-1.954429	5.975187
-1.950154	5.974201
-1.954429	5.972885
-1.956073	5.971899
-1.950483	5.970912
-1.952127	5.969597
-1.957389	5.968282
-1.942262	5.966637
-1.961006	5.965651
-1.941605	5.964664
-1.950483	5.964007
-1.948181	5.962691
-1.946208	5.962034
-1.956073	5.961047
-1.952456	5.960060
-1.961993	5.959732
-1.963308	5.959074
-1.966925	5.958745
-1.972515	5.957430
-1.981394	5.957101
-1.993561	5.956114
-1.996192	5.956772
-1.998165	5.956114
-2.003755	5.956114
-2.011318	5.956114
-2.011647	5.956114
-2.006057	5.956772
-2.009674	5.957759
-2.003426	5.958745
-2.001124	5.959732
-1.996849	5.961047
-1.988628	5.962034
-1.977448	5.964007
-1.963966	5.964335
-1.975475	5.965980
-1.953114	5.967295
-1.947524	5.969268
-1.936014	5.970255
-1.922203	5.970912
-1.928451	5.971899
-1.898856	5.972228
-1.903459	5.971899
-1.885702	5.971899
-1.892937	5.971899
-1.891950	5.971899
-1.891621	5.971241
-1.885373	5.970583
-1.891621	5.969597
-1.895238	5.970255
-1.902473	5.969268
-1.907734	5.968610
-1.912009	5.968939
-1.918257	5.968610
-1.921217	5.967624
-1.928780	5.967953
-1.933712	5.968282
-1.930753	5.968282
-1.937330	5.967953
-1.935685	5.967953
-1.940289	5.968610
-1.939303	5.968610
-1.939960	5.969268
-1.951141	5.969926
-1.944893	5.970583
-1.950154	5.971899
-1.950812	5.972556
-1.948181	5.973872
-1.955087	5.974858
-1.951141	5.976503
-1.942262	5.977489
-1.944564	5.978476
-1.944564	5.979791
-1.943249	5.981435
-1.939960	5.981764
-1.943578	5.982093
-1.936672	5.982751
-1.935028	5.983079
-1.933055	5.982751
-1.930753	5.982751
-1.916284	5.981764
-1.900829	5.981435
-1.895567	5.980120
-1.900171	5.978476
-1.890964	5.977160
-1.897869	5.975187
-1.901486	5.973214
-1.902473	5.971241
-1.903788	5.968610
-1.903131	5.966966
-1.907734	5.964335
-1.912009	5.962034
